bssid,gps_text
10:c3:ab:3d:60:b1,Lat: 13.681455715200117, Lng: 100.61053743444579, Accuracy: 9.071986m
64:20:e0:75:e9:19,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
cc:29:bd:d0:fa:60,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
fe:12:2c:d7:6a:10,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
3a:72:c2:e8:b8:f1,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
64:20:e3:bd:7a:af,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
64:20:e1:8e:fb:1f,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
74:e9:bf:98:78:84,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
82:8a:20:55:27:e9,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
50:4f:3b:e5:29:6b,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
50:4f:3b:e5:33:53,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
d4:4f:67:12:0b:50,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
10:5f:02:e7:81:81,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
fc:ec:da:8e:e4:0e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:95:71:26,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
64:20:e3:95:71:27,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
66:20:e3:92:aa:8e,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
3a:72:c2:85:26:00,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
ae:15:a2:d6:22:ea,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
ac:15:a2:b6:22:e9,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
e0:0e:e4:f4:a7:6d,Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m
a4:ba:70:0c:67:89,Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m
64:20:e1:a3:c5:ee,Lat: 13.681444464036652, Lng: 100.61056887810564, Accuracy: 4.9m
