collection_id,username,sample_id,captured_at,gps_text,wifi_count,bssid,ssid,rssi_dbm,frequency_mhz,channel,band,security,wifi_standard,merged_count
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,dc:ef:80:e0:57:34,AKIYAMA_2.4G,-68,2462,11,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][WPA-PSK-CCMP][K][V][ESS][WPS],Unknown,58
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,7a:53:0d:18:e5:ea,namfonwifi_2G,-74,5765,153,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,74:e9:bf:6f:ec:e0,Elephy 5G,-75,5180,36,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,6a:9e:29:4f:63:6c,<hidden>,-76,5500,100,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,68:9e:29:df:63:6c,5G_A&T,-76,5500,100,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,1e:5d:de:7a:80:d3,Redmi Note 10 5G,-78,2472,13,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][V][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,70:f8:2b:ba:96:7d,JF City Home 5G,-81,5200,40,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,e8:5a:d1:e6:f8:d6,Taweekiat,-82,2457,10,2.4 GHz,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],Unknown,68
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,dc:ef:80:e0:57:38,AKIYAMA_5G,-83,5180,36,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][WPA-PSK-CCMP][K][V][ESS][WPS],Unknown,29
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,64:20:e3:c6:1f:0e,FOVIZ-AC_5G,-85,5745,149,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,29
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,ea:81:75:49:80:a7,<hidden>,-85,5260,52,5 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,66:20:e1:9c:b9:66,Pla 5G,-85,5240,48,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,64:20:e1:8c:b9:67,<hidden>,-85,5240,48,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,dc:ef:80:e0:57:3b,<hidden>,-85,5180,36,5 GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][K][V][WPA-PSK-CCMP+TKIP][K][V][ESS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,66:20:e3:07:1f:0d,<hidden>,-86,5745,149,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],Unknown,29
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,e8:81:75:29:80:a7,Jeny2323_5G,-87,5260,52,5 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,e8:81:75:29:80:a6,Jeny2323_2.4G,-91,2457,10,2.4 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,7a:53:0d:18:e5:e9,namfonwifi_5G,-92,2437,6,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,20
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4b52212a-2a78-4306-aa02-8fa019fb3b7a,2026-04-03 01:17:52,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",27,68:9e:29:df:63:6b,2.4G_A&T,-93,2422,3,2.4 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS][WPS],Unknown,30
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,2e8fb6f7-52a2-4e30-885d-9a86aaf0f67f,2026-04-03 01:17:56,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",31,e8:5a:d1:e6:f8:d7,Taweekiat_5G,-76,5260,52,5 GHz,[WPA-PSK-CCMP][WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],Unknown,54
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,2e8fb6f7-52a2-4e30-885d-9a86aaf0f67f,2026-04-03 01:17:56,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",31,98:00:6a:22:1a:c8,GUNGOLE_2.4G,-79,2412,1,2.4 GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],Unknown,64
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,2e8fb6f7-52a2-4e30-885d-9a86aaf0f67f,2026-04-03 01:17:56,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",31,98:00:6a:22:1a:c9,GUNGOLE_5G,-83,5320,64,5 GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],Unknown,16
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,2e8fb6f7-52a2-4e30-885d-9a86aaf0f67f,2026-04-03 01:17:56,"Lat: 13.6809694, Lng: 100.6103321, Accuracy: 41.282m",31,74:e9:bf:6f:65:00,myfrd 2G,-91,2427,4,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,64
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,49c8bbbe-ce98-41a3-ab93-bbb907708076,2026-04-03 01:18:12,"Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m",132,50:4f:3b:e5:29:6a,Metabulestone 2.4,-63,2437,6,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,97
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,49c8bbbe-ce98-41a3-ab93-bbb907708076,2026-04-03 01:18:12,"Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m",132,66:20:e3:1c:0f:36,2544_00_2.4G,-67,2412,1,2.4 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],Unknown,38
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,49c8bbbe-ce98-41a3-ab93-bbb907708076,2026-04-03 01:18:12,"Lat: 13.681474178690081, Lng: 100.61055060411337, Accuracy: 4.9m",132,9c:63:5b:74:4a:a6,Irin salon2.4G,-68,2412,1,2.4 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS][WPS],Unknown,39
