collection_id,username,sample_id,captured_at,gps_text,wifi_count,bssid,ssid,rssi_dbm,frequency_mhz,channel,band,security,wifi_standard,address
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,c4:eb:ff:9d:a9:00,Maneeya_5G,-91,5300,60,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,4d121375-6772-4588-9fcd-ac3062220edb,2026-04-03 01:20:02,"Lat: 13.681353869053783, Lng: 100.61025550930052, Accuracy: 4.7m",99,da:a0:e8:47:b7:45,<hidden>,-88,5300,60,5 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,86:93:b2:40:f5:63,<hidden>,-91,5300,60,5 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,84:93:b2:20:f5:63,FITONE ADMIN,-91,5300,60,5 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,64:20:e3:4a:f1:bf,<hidden>,-91,5280,56,5 GHz,[WPA-PSK-CCMP][K][V][WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,da:a0:e8:41:38:79,<hidden>,-91,5260,52,5 GHz,[WPA-PSK-TKIP+CCMP][K][V][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][K][V][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,865d6b58-f9de-4b14-8d90-f360df2ab946,2026-04-03 01:20:33,"Lat: 13.68100254164745, Lng: 100.61013341493586, Accuracy: 4.7m",92,9c:53:22:90:5d:c3,Udomsuk Inn 2-3_5G,-75,5220,44,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,e0:0e:e4:ed:8e:3d,GIGAKONG_5G,-91,5220,44,5 GHz,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][RSN-PSK-TKIP+CCMP][ESS][WPS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,cac7899e-a604-4da7-86a8-7d3710932c64,2026-04-03 01:19:32,"Lat: 13.681700485597538, Lng: 100.61034023153114, Accuracy: 6.235547m",121,02:ec:da:8e:e4:1c,The Digital STM,-91,5200,40,5 GHz,[WPA2-PSK-CCMP][RSN-PSK-CCMP][K][V][PMFC][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
9bad0da0-d985-422b-871c-8667eb75713e,akmfirst,480aea1a-4310-47f5-adbd-66bf2516fbbf,2026-04-03 01:21:20,"Lat: 13.680482288297325, Lng: 100.60987592004894, Accuracy: 4.7m",51,ee:48:b8:9b:73:d9,NH CAFE,-59,5785,157,5 GHz,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][PMFC][ESS],,Sukhumvit Road - Bang Na District - Bangkok - Thailand
